NEpisode,EpisodeLenght,EpisodeSteps,Accident,TotalNGoal,NGoalNorth,NGoalSouth,TotalNCarGenerated,NCarGeneratedNorth,NCarGeneratedSouth,TotalNCarBeenWaiting,NCarBeenWaitingNorth,NCarBeenWaitingSouth,TotalAVGTimeToPass,AVGTimeToPassNorth,AVGTimeToPassSouth,TotalAVGTimeWaited,AVGTimeWaitedNorth,AVGTimeWaitedSouth
69,11.67,583,True,2,2,0,8,4,4,3,0,3,9.67,9.67,NaN,0,0,NaN
70,32,1600,False,10,5,5,10,5,5,5,2,3,11.4,10.73,12.07,3.81,4.12,3.5
71,39,1950,False,10,5,5,10,5,5,7,2,5,11.23,10.53,11.93,5.08,3.5,6.66
72,36.67,1834,False,10,5,5,10,5,5,6,2,4,10.57,10.2,10.93,4.16,4.31,4
73,39.67,1983,False,10,5,5,10,5,5,6,4,2,10.57,11.33,9.8,3.61,5.3,1.92
74,38.67,1933,False,10,5,5,10,5,5,4,2,2,8.77,8.2,9.33,1.29,1.22,1.35
75,35,1750,False,10,5,5,10,5,5,4,3,1,10.03,10.87,9.2,3.15,4.98,1.32
76,6,300,True,0,0,0,4,2,2,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN
77,35,1750,False,10,5,5,10,5,5,4,1,3,10.5,8.8,12.2,4.06,0.87,7.25
78,17.33,867,True,3,2,1,7,4,3,2,1,1,9.22,6.83,14,2.8,0,8.4
79,12.33,617,True,1,1,0,5,3,2,3,2,1,9,9,NaN,0,0,NaN
80,44.33,2216,False,10,5,5,10,5,5,4,2,2,9.8,10.73,8.87,3.58,6.03,1.14
81,34.33,1717,False,10,5,5,10,5,5,6,4,2,9.4,8.93,9.87,2.48,3.08,1.88
82,40,2000,False,10,5,5,10,5,5,6,2,4,10.47,9.13,11.8,3.09,1.3,4.88
83,16.33,817,True,3,2,1,6,3,3,3,2,1,11.78,13.33,8.67,3.83,5.74,0
84,36.33,1816,False,10,5,5,10,5,5,5,2,3,10.7,10.47,10.93,4.96,6.18,3.73
85,36.33,1817,False,10,5,5,10,5,5,5,3,2,10.53,10,11.07,3.7,5.84,1.56
86,32,1600,False,10,5,5,10,5,5,4,2,2,9.57,8.87,10.27,2.47,1.8,3.14
87,32,1600,False,10,5,5,10,5,5,5,1,4,11.5,9.8,13.2,4.85,2.68,7.02
88,17.67,883,True,5,2,3,8,3,5,2,0,2,8.2,6.5,9.33,1.54,0,2.56
89,34.67,1734,False,10,5,5,10,5,5,5,2,3,10.5,9.53,11.47,4.21,3.75,4.67
90,33,1650,False,10,5,5,10,5,5,6,3,3,10.17,9.07,11.27,3.33,1.18,5.49
91,32.67,1633,False,10,5,5,10,5,5,6,3,3,9.63,10.27,9,2.37,3.4,1.34
92,37.33,1867,False,10,5,5,10,5,5,7,5,2,10.17,10.87,9.47,3.46,4.68,2.24
93,30,1500,False,10,5,5,10,5,5,5,1,4,9.97,9.6,10.33,3.29,1.76,4.82
94,40.67,2033,False,10,5,5,10,5,5,5,3,2,9.67,10.53,8.8,3.45,4.3,2.61
95,26.33,1317,True,6,3,3,10,5,5,6,3,3,10.56,9.67,11.44,3.31,3.85,2.77
96,32.33,1616,False,10,5,5,10,5,5,5,3,2,9.9,11.07,8.73,2.6,4.32,0.88
97,28,1400,False,10,5,5,10,5,5,5,1,4,9.07,7.67,10.47,1.96,0.08,3.83
98,39.33,1967,False,10,5,5,10,5,5,4,3,1,9,9.6,8.4,1.99,3.87,0.1
99,41,2050,False,10,5,5,10,5,5,7,3,4,10.17,10.27,10.07,3.49,4.06,2.92
100,44,2200,False,10,5,5,10,5,5,6,3,3,10.1,10.33,9.87,2.72,3.3,2.14
101,36.33,1817,False,10,5,5,10,5,5,3,1,2,10.73,9.13,12.33,4.16,3.78,4.54
